"spec","variable","horizon","estimate","variable_label"
"Baseline VAR","real_gdp",0,0,"Real GDP (% deviation)"
"Baseline VAR","real_gdp",1,-0.383627953503547,"Real GDP (% deviation)"
"Baseline VAR","real_gdp",2,-0.359895611130959,"Real GDP (% deviation)"
"Baseline VAR","real_gdp",3,-0.0158288077435198,"Real GDP (% deviation)"
"Baseline VAR","real_gdp",4,0.0342587379373086,"Real GDP (% deviation)"
"Baseline VAR","real_gdp",5,0.013343565658395,"Real GDP (% deviation)"
"Baseline VAR","real_gdp",6,-0.0580261272610538,"Real GDP (% deviation)"
"Baseline VAR","real_gdp",7,-0.102545405582162,"Real GDP (% deviation)"
"Baseline VAR","real_gdp",8,-0.107127089021714,"Real GDP (% deviation)"
"Baseline VAR","real_gdp",9,-0.0997708971369644,"Real GDP (% deviation)"
"Baseline VAR","real_gdp",10,-0.0936616378599193,"Real GDP (% deviation)"
"Baseline VAR","real_gdp",11,-0.0930139671283321,"Real GDP (% deviation)"
"Baseline VAR","real_gdp",12,-0.0954133065685833,"Real GDP (% deviation)"
"Baseline VAR","real_gdp",13,-0.0970748167175858,"Real GDP (% deviation)"
"Baseline VAR","real_gdp",14,-0.0973067713607126,"Real GDP (% deviation)"
"Baseline VAR","real_gdp",15,-0.0966089071147863,"Real GDP (% deviation)"
"Baseline VAR","real_gdp",16,-0.0957592838040422,"Real GDP (% deviation)"
"Baseline VAR","inflation",0,0,"Underlying inflation (quarterly ppt)"
"Baseline VAR","inflation",1,-0.0116497849289218,"Underlying inflation (quarterly ppt)"
"Baseline VAR","inflation",2,0.255306357780635,"Underlying inflation (quarterly ppt)"
"Baseline VAR","inflation",3,0.169038014384889,"Underlying inflation (quarterly ppt)"
"Baseline VAR","inflation",4,0.0930114217347956,"Underlying inflation (quarterly ppt)"
"Baseline VAR","inflation",5,0.0406693145264258,"Underlying inflation (quarterly ppt)"
"Baseline VAR","inflation",6,0.0062356219203919,"Underlying inflation (quarterly ppt)"
"Baseline VAR","inflation",7,0.00854715182271634,"Underlying inflation (quarterly ppt)"
"Baseline VAR","inflation",8,0.0101836578887268,"Underlying inflation (quarterly ppt)"
"Baseline VAR","inflation",9,0.0092426767358467,"Underlying inflation (quarterly ppt)"
"Baseline VAR","inflation",10,0.00620097388325753,"Underlying inflation (quarterly ppt)"
"Baseline VAR","inflation",11,0.00266201917996804,"Underlying inflation (quarterly ppt)"
"Baseline VAR","inflation",12,0.000949452394985425,"Underlying inflation (quarterly ppt)"
"Baseline VAR","inflation",13,0.000451017904660496,"Underlying inflation (quarterly ppt)"
"Baseline VAR","inflation",14,0.000412113648364942,"Underlying inflation (quarterly ppt)"
"Baseline VAR","inflation",15,0.000390473021120337,"Underlying inflation (quarterly ppt)"
"Baseline VAR","inflation",16,0.00024012656856559,"Underlying inflation (quarterly ppt)"
"Baseline VAR","price_level",0,0,"Price level (% deviation)"
"Baseline VAR","price_level",1,-0.0116497849289218,"Price level (% deviation)"
"Baseline VAR","price_level",2,0.243656572851714,"Price level (% deviation)"
"Baseline VAR","price_level",3,0.412694587236603,"Price level (% deviation)"
"Baseline VAR","price_level",4,0.505706008971399,"Price level (% deviation)"
"Baseline VAR","price_level",5,0.546375323497824,"Price level (% deviation)"
"Baseline VAR","price_level",6,0.552610945418216,"Price level (% deviation)"
"Baseline VAR","price_level",7,0.561158097240933,"Price level (% deviation)"
"Baseline VAR","price_level",8,0.571341755129659,"Price level (% deviation)"
"Baseline VAR","price_level",9,0.580584431865506,"Price level (% deviation)"
"Baseline VAR","price_level",10,0.586785405748764,"Price level (% deviation)"
"Baseline VAR","price_level",11,0.589447424928732,"Price level (% deviation)"
"Baseline VAR","price_level",12,0.590396877323717,"Price level (% deviation)"
"Baseline VAR","price_level",13,0.590847895228377,"Price level (% deviation)"
"Baseline VAR","price_level",14,0.591260008876742,"Price level (% deviation)"
"Baseline VAR","price_level",15,0.591650481897863,"Price level (% deviation)"
"Baseline VAR","price_level",16,0.591890608466428,"Price level (% deviation)"
"Direct-shock LP","real_gdp",0,0.226722410375271,"Real GDP (% deviation)"
"Direct-shock LP","real_gdp",1,0.207432228563126,"Real GDP (% deviation)"
"Direct-shock LP","real_gdp",2,0.245044918088597,"Real GDP (% deviation)"
"Direct-shock LP","real_gdp",3,0.840738998791441,"Real GDP (% deviation)"
"Direct-shock LP","real_gdp",4,0.522401708801277,"Real GDP (% deviation)"
"Direct-shock LP","real_gdp",5,1.04561746893014,"Real GDP (% deviation)"
"Direct-shock LP","real_gdp",6,0.772559007380739,"Real GDP (% deviation)"
"Direct-shock LP","real_gdp",7,0.811274451474897,"Real GDP (% deviation)"
"Direct-shock LP","real_gdp",8,1.18883868735696,"Real GDP (% deviation)"
"Direct-shock LP","real_gdp",9,0.913893238487525,"Real GDP (% deviation)"
"Direct-shock LP","real_gdp",10,1.1248067468782,"Real GDP (% deviation)"
"Direct-shock LP","real_gdp",11,0.651400252972697,"Real GDP (% deviation)"
"Direct-shock LP","real_gdp",12,0.568961997374473,"Real GDP (% deviation)"
"Direct-shock LP","real_gdp",13,0.59586132673749,"Real GDP (% deviation)"
"Direct-shock LP","real_gdp",14,0.807139023446077,"Real GDP (% deviation)"
"Direct-shock LP","real_gdp",15,0.48250496821259,"Real GDP (% deviation)"
"Direct-shock LP","real_gdp",16,1.13896824154121,"Real GDP (% deviation)"
"Direct-shock LP","inflation",0,-0.0448449917101496,"Underlying inflation (quarterly ppt)"
"Direct-shock LP","inflation",1,0.00507422301747802,"Underlying inflation (quarterly ppt)"
"Direct-shock LP","inflation",2,0.191561351550916,"Underlying inflation (quarterly ppt)"
"Direct-shock LP","inflation",3,0.186879624445494,"Underlying inflation (quarterly ppt)"
"Direct-shock LP","inflation",4,0.0861529364638032,"Underlying inflation (quarterly ppt)"
"Direct-shock LP","inflation",5,0.0466227104541721,"Underlying inflation (quarterly ppt)"
"Direct-shock LP","inflation",6,0.198773254205211,"Underlying inflation (quarterly ppt)"
"Direct-shock LP","inflation",7,0.176215888919035,"Underlying inflation (quarterly ppt)"
"Direct-shock LP","inflation",8,0.123181934321489,"Underlying inflation (quarterly ppt)"
"Direct-shock LP","inflation",9,-0.0138130362706845,"Underlying inflation (quarterly ppt)"
"Direct-shock LP","inflation",10,-0.0331762811133143,"Underlying inflation (quarterly ppt)"
"Direct-shock LP","inflation",11,-0.128775074795636,"Underlying inflation (quarterly ppt)"
"Direct-shock LP","inflation",12,-0.0429391547435712,"Underlying inflation (quarterly ppt)"
"Direct-shock LP","inflation",13,0.0428931703811625,"Underlying inflation (quarterly ppt)"
"Direct-shock LP","inflation",14,0.042724262672039,"Underlying inflation (quarterly ppt)"
"Direct-shock LP","inflation",15,-0.161140447113705,"Underlying inflation (quarterly ppt)"
"Direct-shock LP","inflation",16,-0.134274298690591,"Underlying inflation (quarterly ppt)"
"Direct-shock LP","price_level",0,0,"Price level (% deviation)"
"Direct-shock LP","price_level",1,0.00507422301747802,"Price level (% deviation)"
"Direct-shock LP","price_level",2,0.194971258467026,"Price level (% deviation)"
"Direct-shock LP","price_level",3,0.378507241269611,"Price level (% deviation)"
"Direct-shock LP","price_level",4,0.449466588908625,"Price level (% deviation)"
"Direct-shock LP","price_level",5,0.503242453016546,"Price level (% deviation)"
"Direct-shock LP","price_level",6,0.718483492304334,"Price level (% deviation)"
"Direct-shock LP","price_level",7,0.922913541082137,"Price level (% deviation)"
"Direct-shock LP","price_level",8,1.01955366463753,"Price level (% deviation)"
"Direct-shock LP","price_level",9,1.01610250706017,"Price level (% deviation)"
"Direct-shock LP","price_level",10,0.954227354382782,"Price level (% deviation)"
"Direct-shock LP","price_level",11,0.793948240119365,"Price level (% deviation)"
"Direct-shock LP","price_level",12,0.779319074277928,"Price level (% deviation)"
"Direct-shock LP","price_level",13,0.83437845193198,"Price level (% deviation)"
"Direct-shock LP","price_level",14,0.872901945137371,"Price level (% deviation)"
"Direct-shock LP","price_level",15,0.590431519251199,"Price level (% deviation)"
"Direct-shock LP","price_level",16,0.433192341757025,"Price level (% deviation)"
"Proxy SVAR","real_gdp",0,0.0818453028384648,"Real GDP (% deviation)"
"Proxy SVAR","real_gdp",1,0.00212968000563489,"Real GDP (% deviation)"
"Proxy SVAR","real_gdp",2,-0.157479082684398,"Real GDP (% deviation)"
"Proxy SVAR","real_gdp",3,-0.249217013723245,"Real GDP (% deviation)"
"Proxy SVAR","real_gdp",4,-0.307545310001392,"Real GDP (% deviation)"
"Proxy SVAR","real_gdp",5,-0.331026631969788,"Real GDP (% deviation)"
"Proxy SVAR","real_gdp",6,-0.335795016046653,"Real GDP (% deviation)"
"Proxy SVAR","real_gdp",7,-0.329422451819752,"Real GDP (% deviation)"
"Proxy SVAR","real_gdp",8,-0.318766491327817,"Real GDP (% deviation)"
"Proxy SVAR","real_gdp",9,-0.307180730884289,"Real GDP (% deviation)"
"Proxy SVAR","real_gdp",10,-0.296573239800026,"Real GDP (% deviation)"
"Proxy SVAR","real_gdp",11,-0.287620507423472,"Real GDP (% deviation)"
"Proxy SVAR","real_gdp",12,-0.280444549992795,"Real GDP (% deviation)"
"Proxy SVAR","real_gdp",13,-0.274855195326798,"Real GDP (% deviation)"
"Proxy SVAR","real_gdp",14,-0.27055900415901,"Real GDP (% deviation)"
"Proxy SVAR","real_gdp",15,-0.267246897703907,"Real GDP (% deviation)"
"Proxy SVAR","real_gdp",16,-0.264644922811802,"Real GDP (% deviation)"
"Proxy SVAR","inflation",0,-0.0423870876679135,"Underlying inflation (quarterly ppt)"
"Proxy SVAR","inflation",1,0.0716306420044386,"Underlying inflation (quarterly ppt)"
"Proxy SVAR","inflation",2,0.107657112324785,"Underlying inflation (quarterly ppt)"
"Proxy SVAR","inflation",3,0.127098078182429,"Underlying inflation (quarterly ppt)"
"Proxy SVAR","inflation",4,0.118043222353516,"Underlying inflation (quarterly ppt)"
"Proxy SVAR","inflation",5,0.101426133406699,"Underlying inflation (quarterly ppt)"
"Proxy SVAR","inflation",6,0.0800500350183611,"Underlying inflation (quarterly ppt)"
"Proxy SVAR","inflation",7,0.0597091322142998,"Underlying inflation (quarterly ppt)"
"Proxy SVAR","inflation",8,0.0420212528222019,"Underlying inflation (quarterly ppt)"
"Proxy SVAR","inflation",9,0.0280137070360769,"Underlying inflation (quarterly ppt)"
"Proxy SVAR","inflation",10,0.0175501728554452,"Underlying inflation (quarterly ppt)"
"Proxy SVAR","inflation",11,0.010182348141824,"Underlying inflation (quarterly ppt)"
"Proxy SVAR","inflation",12,0.00526333258019199,"Underlying inflation (quarterly ppt)"
"Proxy SVAR","inflation",13,0.00217137772369171,"Underlying inflation (quarterly ppt)"
"Proxy SVAR","inflation",14,0.000363990828270766,"Underlying inflation (quarterly ppt)"
"Proxy SVAR","inflation",15,-0.000586480598153753,"Underlying inflation (quarterly ppt)"
"Proxy SVAR","inflation",16,-0.000998553095729865,"Underlying inflation (quarterly ppt)"
"Proxy SVAR","price_level",0,-0.0423870876679135,"Price level (% deviation)"
"Proxy SVAR","price_level",1,0.0292435543365251,"Price level (% deviation)"
"Proxy SVAR","price_level",2,0.13690066666131,"Price level (% deviation)"
"Proxy SVAR","price_level",3,0.263998744843738,"Price level (% deviation)"
"Proxy SVAR","price_level",4,0.382041967197255,"Price level (% deviation)"
"Proxy SVAR","price_level",5,0.483468100603953,"Price level (% deviation)"
"Proxy SVAR","price_level",6,0.563518135622314,"Price level (% deviation)"
"Proxy SVAR","price_level",7,0.623227267836614,"Price level (% deviation)"
"Proxy SVAR","price_level",8,0.665248520658816,"Price level (% deviation)"
"Proxy SVAR","price_level",9,0.693262227694893,"Price level (% deviation)"
"Proxy SVAR","price_level",10,0.710812400550338,"Price level (% deviation)"
"Proxy SVAR","price_level",11,0.720994748692162,"Price level (% deviation)"
"Proxy SVAR","price_level",12,0.726258081272354,"Price level (% deviation)"
"Proxy SVAR","price_level",13,0.728429458996046,"Price level (% deviation)"
"Proxy SVAR","price_level",14,0.728793449824317,"Price level (% deviation)"
"Proxy SVAR","price_level",15,0.728206969226163,"Price level (% deviation)"
"Proxy SVAR","price_level",16,0.727208416130433,"Price level (% deviation)"
