"year","quarter","proxy","policy_innovation"
1992,1,0.139661895275325,0.469527919672226
1992,2,-0.00382289920112201,-0.475698746358859
1992,3,-0.0601736775350524,0.135072513801949
1992,4,-0.0311444498269545,0.201949111417343
1993,1,-0.457359320724166,-0.392352605557743
1993,2,0.071985407543725,-0.383685077740983
1993,3,0.0745062165683134,-0.441897390271828
1993,4,0.00234759946613135,0.178835605190698
1994,1,-0.0222700079184026,-0.144456838600404
1994,2,-0.0881601122017328,-0.247943529571503
1994,3,0.00715213814060402,0.462805804125371
1994,4,0.839441201876672,0.93321013011342
1995,1,-0.0272103907980092,-0.384599617899384
1995,2,0.212517663170942,0.0648535733894418
1995,3,-0.0598042400415599,0.174759170533593
1995,4,0.0847626298892804,0.043054519211443
1996,1,0.111025033292205,0.061779373612435
1996,2,0.0390416519100619,0.285740702993112
1996,3,-0.0279274947544186,-0.441443233225415
1996,4,-0.506784986494498,-0.194473561404896
1997,1,-0.0538402692371886,0.236918258120239
1997,2,0.0610401493078592,-0.322366671257996
1997,3,-0.093325171500282,-0.268878164243008
1997,4,0.00640447364582244,0.186672685644245
1998,1,-0.0627536188906657,-0.100929564958014
1998,2,0.00314879408945775,-0.1940323467967
1998,3,0.0383084510832043,0.0534964394964292
1998,4,-0.256646392944942,-0.215400518946278
1999,1,0.212474352262693,-0.0872837628109588
1999,2,-0.0254573493527465,-0.111265028221571
1999,3,-0.0216096631556682,-0.0406735574887216
1999,4,-0.146302333963515,0.146558037806508
2000,1,-0.0936199167041776,0.303634564381517
2000,2,0.141100590338756,-0.025952531337602
2000,3,0.265161053571358,0.16367267379074
2000,4,-0.0562611389457662,0.103001745176011
2001,1,-0.227249162247461,-0.203197197673529
2001,2,-0.126328645467593,-0.502368693906444
2001,3,-0.120893392412632,0.337116707720381
2001,4,0.0228432515168294,-0.516579342529182
2002,1,-0.0799405908774529,0.0030858835249186
2002,2,0.247586276088414,0.145663787279009
2002,3,-0.0167261871473019,0.104071005455258
2002,4,0.00845755517329406,-0.262110031298006
2003,1,0.0875651940864483,0.0309546732210702
2003,2,-0.0246412340893413,-0.076306316032107
2003,3,0.0507267679343394,0.114914452901556
2003,4,0.164124000192691,0.279706428642907
2004,1,-0.0294488717055043,0.00805138180702072
2004,2,-0.193790151274573,-0.210536141997448
2004,3,-0.0641462180824116,0.108746098994809
2004,4,-0.0323541548695533,0.116638306825402
2005,1,0.0273753420996516,0.0830615375918407
2005,2,0.00653255270607166,0.181640948786924
2005,3,-0.0318932997779602,0.0265243246035478
2005,4,0.0186135639797399,0.157884391916717
2006,1,0.0991570068586096,0.0521829627366358
2006,2,0.210293632830798,0.203501059485582
2006,3,0.195905818900578,0.278829244615517
2006,4,0.307210397960775,0.327310977723518
2007,1,0.0394955096554158,0.159374779116258
2007,2,-0.0244310863484351,0.122392712168078
2007,3,0.107424078030206,0.222359701189068
2007,4,0.154982922029276,0.281784954639037
2008,1,0.123439216007317,0.290398501106708
2008,2,-0.058737844872067,0.269745190035534
2008,3,0.00341685057343703,0.00482127528983836
2008,4,-0.650762746685972,-1.51452042597813
2009,1,-0.709187730517354,-0.195590814637269
2009,2,0.224527191260302,0.4879599424703
2009,3,0.165055499373445,0.0212212703777132
2009,4,0.307187863425711,0.354527831552899
2010,1,-0.0232364393699139,-0.036326868597255
2010,2,0.172936161142357,0.346275411361771
2010,3,-0.0350917075938418,-0.0700264661487954
2010,4,0.304822995161985,0.316153709253925
2011,1,0.0156707399130775,0.0999001204714128
2011,2,-0.0893850525493564,-0.0367435136798198
2011,3,-0.154229780147213,0.118618870981277
2011,4,-0.1823251924298,-0.0667566673049381
2012,1,0.0329182444978399,-0.0399645817417557
2012,2,-0.44730778221397,-0.195673378568347
2012,3,0.0180117166687226,-0.0903338079818406
2012,4,0.047793608874059,-0.168384214063545
2013,1,0.0731487832385029,-0.0399591744694562
2013,2,-0.128565077459157,-0.0538373064040029
2013,3,-0.178454221503392,-0.180031687100706
2013,4,0.0326654141233072,-0.102931224294573
2014,1,-0.0694179335320484,-0.119013476149036
2014,2,0.0686413608854831,-0.0884586460431636
2014,3,0.141887147148172,-0.0915794494838446
2014,4,0.0538320176163284,-0.0186523863998203
2015,1,-0.193256107766666,-0.175411556159533
2015,2,-0.153552441781036,-0.274254365789156
2015,3,0.0499876677474661,-0.096685100083701
2015,4,0.167440567120817,0.0386043088841154
