"year","quarter","date_inf_fore","shock"
1991,2,1991-06-01,0.499864411561995
1991,3,1991-09-01,-0.739179844191284
1991,4,1991-12-01,0.219140425017905
1992,1,1992-03-01,0.139661895275325
1992,2,1992-06-01,-0.00382289920112201
1992,3,1992-09-01,-0.0601736775350524
1992,4,1992-12-01,-0.0311444498269545
1993,1,1993-03-01,-0.457359320724166
1993,2,1993-06-01,0.071985407543725
1993,3,1993-09-01,0.0745062165683134
1993,4,1993-12-01,0.00234759946613135
1994,1,1994-03-01,-0.0222700079184026
1994,2,1994-06-01,-0.0881601122017328
1994,3,1994-09-01,0.00715213814060402
1994,4,1994-12-01,0.839441201876672
1995,1,1995-03-01,-0.0272103907980092
1995,2,1995-06-01,0.212517663170942
1995,3,1995-09-01,-0.0598042400415599
1995,4,1995-12-01,0.0847626298892804
1996,1,1996-03-01,0.111025033292205
1996,2,1996-06-01,0.0390416519100619
1996,3,1996-09-01,-0.0279274947544186
1996,4,1996-12-01,-0.506784986494498
1997,1,1997-03-01,-0.0538402692371886
1997,2,1997-06-01,0.0610401493078592
1997,3,1997-09-01,-0.093325171500282
1997,4,1997-12-01,0.00640447364582244
1998,1,1998-03-01,-0.0627536188906657
1998,2,1998-06-01,0.00314879408945775
1998,3,1998-09-01,0.0383084510832043
1998,4,1998-12-01,-0.256646392944942
1999,1,1999-03-01,0.212474352262693
1999,2,1999-06-01,-0.0254573493527465
1999,3,1999-09-01,-0.0216096631556682
1999,4,1999-12-01,-0.146302333963515
2000,1,2000-03-01,-0.0936199167041776
2000,2,2000-05-01,0.141100590338756
2000,3,2000-08-01,0.265161053571358
2000,4,2000-11-01,-0.0562611389457662
2001,1,2001-02-01,-0.227249162247461
2001,2,2001-05-01,-0.126328645467593
2001,3,2001-08-01,-0.120893392412632
2001,4,2001-11-01,0.0228432515168294
2002,1,2002-02-01,-0.0799405908774529
2002,2,2002-05-01,0.247586276088414
2002,3,2002-08-01,-0.0167261871473019
2002,4,2002-11-01,0.00845755517329406
2003,1,2003-02-01,0.0875651940864483
2003,2,2003-05-01,-0.0246412340893413
2003,3,2003-08-01,0.0507267679343394
2003,4,2003-11-01,0.164124000192691
2004,1,2004-02-01,-0.0294488717055043
2004,2,2004-05-01,-0.193790151274573
2004,3,2004-08-01,-0.0641462180824116
2004,4,2004-11-01,-0.0323541548695533
2005,1,2005-02-01,0.0273753420996516
2005,2,2005-05-01,0.00653255270607166
2005,3,2005-08-01,-0.0318932997779602
2005,4,2005-11-01,0.0186135639797399
2006,1,2006-02-01,0.0991570068586096
2006,2,2006-05-01,0.210293632830798
2006,3,2006-08-01,0.195905818900578
2006,4,2006-11-01,0.307210397960775
2007,1,2007-02-01,0.0394955096554158
2007,2,2007-05-01,-0.0244310863484351
2007,3,2007-08-01,0.107424078030206
2007,4,2007-11-01,0.154982922029276
2008,1,2008-02-01,0.123439216007317
2008,2,2008-05-01,-0.058737844872067
2008,3,2008-08-01,0.00341685057343703
2008,4,2008-11-01,-0.650762746685972
2009,1,2009-02-01,-0.709187730517354
2009,2,2009-05-01,0.224527191260302
2009,3,2009-08-01,0.165055499373445
2009,4,2009-11-01,0.307187863425711
2010,1,2010-02-01,-0.0232364393699139
2010,2,2010-05-01,0.172936161142357
2010,3,2010-08-01,-0.0350917075938418
2010,4,2010-11-01,0.304822995161985
2011,1,2011-02-01,0.0156707399130775
2011,2,2011-05-01,-0.0893850525493564
2011,3,2011-08-01,-0.154229780147213
2011,4,2011-11-01,-0.1823251924298
2012,1,2012-02-01,0.0329182444978399
2012,2,2012-05-01,-0.44730778221397
2012,3,2012-08-01,0.0180117166687226
2012,4,2012-11-01,0.047793608874059
2013,1,2013-02-01,0.0731487832385029
2013,2,2013-05-01,-0.128565077459157
2013,3,2013-08-01,-0.178454221503392
2013,4,2013-11-01,0.0326654141233072
2014,1,2014-02-01,-0.0694179335320484
2014,2,2014-05-01,0.0686413608854831
2014,3,2014-08-01,0.141887147148172
2014,4,2014-11-01,0.0538320176163284
2015,1,2015-02-01,-0.193256107766666
2015,2,2015-05-01,-0.153552441781036
2015,3,2015-08-01,0.0499876677474661
2015,4,2015-11-01,0.167440567120817
2016,1,2016-02-01,0.0982452782703774
